canonical_taxon_id,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,habitat_suitability
abditomys_latidens,16.6,9.34,51.0,3031.2,26.68,8.36,18.31,18.44,14.77,23.01,10.19,955.83,119.69,47.63,40.21,335.12,119.06,272.51,181.67,328.2,0.9674
abeomelomys_sevia,22.08,8.41,89.37,1063.8,27.26,17.85,9.41,23.03,21.14,25.38,18.79,1804.66,201.32,109.64,27.09,563.69,274.11,502.68,335.12,410.0,0.9715
abrawayaomys_ruschii,15.87,9.52,50.52,3144.6,26.23,7.39,18.85,17.75,13.98,22.46,9.27,899.39,113.33,44.25,40.96,317.31,110.62,256.76,171.17,388.3,0.9541
abrocoma_bennettii,9.91,10.37,33.58,5695.2,26.9,-3.99,30.89,13.0,6.82,20.73,-0.9,461.41,66.31,16.16,57.97,185.67,40.4,135.65,90.43,105.4,0.6864
abrocoma_boliviensis,16.44,9.33,48.86,3195.0,26.94,7.85,19.09,18.35,14.53,23.12,9.76,895.69,113.17,43.81,41.3,316.89,109.53,255.85,170.57,276.0,0.9571
abrocoma_cinerea,15.84,9.4,45.89,3490.2,27.11,6.62,20.48,17.89,13.79,23.01,8.67,789.67,101.4,37.33,43.27,283.91,93.33,226.35,150.9,229.8,0.9296
abrothrix_andinus,13.97,9.69,40.55,4215.6,27.12,3.22,23.91,16.36,11.58,22.34,5.61,582.87,77.78,25.21,48.1,217.78,63.02,168.48,112.32,176.3,0.8295
abrothrix_illuteus,12.63,9.96,38.73,4599.0,26.77,1.05,25.72,15.2,10.06,21.63,3.63,505.16,68.75,20.77,50.66,192.51,51.93,146.66,97.78,203.1,0.7666
abrothrix_jelskii,16.61,9.25,47.78,3254.4,27.26,7.89,19.37,18.54,14.67,23.39,9.83,879.89,111.54,42.75,41.7,312.31,106.88,251.52,167.68,222.9,0.955
abrothrix_lanosus,-1.02,12.28,25.13,9496.8,25.85,-23.0,48.85,3.87,-5.9,16.08,-18.11,878.7,149.48,12.22,83.31,418.55,30.55,269.46,179.64,0.0,0.6005
abrothrix_longipilis,4.63,11.27,28.24,7601.4,26.57,-13.32,39.9,8.62,0.64,18.59,-9.33,751.03,117.88,18.35,70.68,330.06,45.88,225.56,150.38,22.2,0.6951
abrothrix_olivaceus,7.15,10.85,30.52,6678.0,26.7,-8.84,35.53,10.7,3.6,19.59,-5.29,575.72,86.67,17.02,64.52,242.68,42.56,171.14,114.09,68.3,0.6855
abrothrix_sanborni,4.94,11.2,28.29,7534.8,26.71,-12.88,39.58,8.89,0.98,18.79,-8.92,741.32,116.01,18.39,70.23,324.83,45.97,222.48,148.32,6.2,0.6997
acerodon_celebensis,24.67,7.93,88.8,246.6,29.58,20.65,8.93,25.56,23.78,27.8,21.54,1980.16,209.66,129.3,21.64,587.04,323.24,546.17,364.11,396.4,0.9282
acerodon_jubatus,18.92,8.96,62.69,2178.0,26.78,12.5,14.29,20.35,17.49,23.92,13.92,1340.78,159.94,73.16,34.52,447.84,182.91,378.45,252.3,372.6,0.994
acerodon_mackloti,20.51,8.67,73.2,1659.6,27.02,15.19,11.84,21.7,19.33,24.66,16.37,1579.26,182.71,90.72,31.06,511.58,226.81,443.03,295.36,371.6,0.9878
acinonyx_jubatus,23.71,8.03,88.92,763.2,28.68,19.65,9.03,24.61,22.81,26.87,20.55,1907.75,208.83,119.09,25.09,584.74,297.74,529.48,352.99,301.0,0.9462
acomys_kempi,25.01,7.91,88.77,50.0,29.91,21.0,8.91,25.9,24.12,28.13,21.89,1983.1,207.02,131.85,20.22,579.65,329.62,545.57,363.71,444.9,0.9214
acomys_louisae,20.35,8.75,76.24,1582.2,26.66,15.19,11.47,21.5,19.2,24.36,16.33,1603.43,184.64,92.8,30.55,517.0,232.0,449.4,299.6,433.4,0.9893
acomys_minous,7.71,10.8,31.75,6355.8,26.42,-7.6,34.01,11.11,4.31,19.61,-4.2,517.39,76.73,16.22,62.37,214.85,40.56,153.24,102.16,133.9,0.6675
acomys_percivali,23.98,8.08,88.99,405.0,28.98,19.9,9.08,24.89,23.07,27.16,20.8,1957.95,209.46,126.12,22.7,586.49,315.31,541.08,360.72,427.8,0.9414
acomys_russatus,13.2,9.97,42.59,4111.2,26.08,2.67,23.41,15.54,10.86,21.4,5.01,582.66,77.33,25.54,47.41,216.52,63.84,168.22,112.14,344.0,0.8184
acomys_spinosissimus,17.42,9.21,54.76,2714.4,26.67,9.86,16.82,19.11,15.74,23.31,11.54,1092.4,134.38,56.35,38.1,376.27,140.88,310.29,206.86,351.1,0.9842
acomys_subspinosus,9.19,10.51,32.95,5911.2,26.74,-5.17,31.91,12.38,6.0,20.36,-1.98,472.82,68.66,15.99,59.41,192.25,39.99,139.34,92.9,115.3,0.6769
acomys_wilsoni,23.49,8.18,89.11,532.8,28.54,19.36,9.18,24.41,22.57,26.71,20.28,1935.56,208.78,123.31,23.55,584.59,308.27,535.72,357.15,443.0,0.9501
aconaemys_sagei,6.12,11.01,29.35,7093.8,26.74,-10.76,37.5,9.87,2.37,19.24,-7.01,654.95,100.49,17.85,67.29,281.37,44.63,195.6,130.4,32.1,0.6971
acrobates_pygmaeus,12.36,10.09,40.07,4483.8,26.21,1.03,25.17,14.88,9.84,21.17,3.55,510.03,69.01,21.3,49.89,193.22,53.24,147.88,98.59,298.4,0.7648
addax_nasomaculatus,16.1,9.24,43.09,3693.6,27.9,6.46,21.44,18.25,13.96,23.61,8.6,740.34,96.11,34.16,44.62,269.1,85.41,212.71,141.81,93.8,0.9167
