canonical_taxon_id,species,order,family,genus,adult_body_mass_g,gestation_length_d,litter_size,weaning_age_d,home_range_km2,trophic_level,max_longevity_m
abditomys_latidens,Abditomys latidens,Rodentia,Muridae,Abditomys,268.09,,,,,,
abeomelomys_sevia,Abeomelomys sevia,Rodentia,Muridae,Abeomelomys,54.88,,1.0,,,,
abrawayaomys_ruschii,Abrawayaomys ruschii,Rodentia,Cricetidae,Abrawayaomys,62.99,,,,,,
abrocoma_bennettii,Abrocoma bennettii,Rodentia,Abrocomidae,Abrocoma,250.5,,4.86,,,,27.6
abrocoma_boliviensis,Abrocoma boliviensis,Rodentia,Abrocomidae,Abrocoma,158.0,,,,,,
abrocoma_cinerea,Abrocoma cinerea,Rodentia,Abrocomidae,Abrocoma,193.64,109.49,2.19,,,,
abrothrix_andinus,Abrothrix andinus,Rodentia,Cricetidae,Abrothrix,24.91,,,,,,
abrothrix_illuteus,Abrothrix illuteus,Rodentia,Cricetidae,Abrothrix,47.79,,,,,,
abrothrix_jelskii,Abrothrix jelskii,Rodentia,Cricetidae,Abrothrix,34.5,,,,,2.0,
abrothrix_lanosus,Abrothrix lanosus,Rodentia,Cricetidae,Abrothrix,27.83,,,,,,
abrothrix_longipilis,Abrothrix longipilis,Rodentia,Cricetidae,Abrothrix,38.86,,3.7,,,2.0,
abrothrix_olivaceus,Abrothrix olivaceus,Rodentia,Cricetidae,Abrothrix,24.52,,5.34,,0.000448137,2.0,12.0
abrothrix_sanborni,Abrothrix sanborni,Rodentia,Cricetidae,Abrothrix,24.7,,,,,2.0,
acerodon_celebensis,Acerodon celebensis,Chiroptera,Pteropodidae,Acerodon,384.84,,0.98,,,,
acerodon_jubatus,Acerodon jubatus,Chiroptera,Pteropodidae,Acerodon,1087.04,,1.0,,,1.0,
acerodon_mackloti,Acerodon mackloti,Chiroptera,Pteropodidae,Acerodon,467.93,,0.98,,,1.0,
acinonyx_jubatus,Acinonyx jubatus,Carnivora,Felidae,Acinonyx,50577.92,92.24,3.28,91.42,88.27,3.0,228.0
acomys_kempi,Acomys kempi,Rodentia,Muridae,Acomys,21.99,,,,,,
acomys_louisae,Acomys louisae,Rodentia,Muridae,Acomys,20.19,,,,,,
acomys_minous,Acomys minous,Rodentia,Muridae,Acomys,62.5,,,,,,
acomys_percivali,Acomys percivali,Rodentia,Muridae,Acomys,21.99,,,,,,
acomys_russatus,Acomys russatus,Rodentia,Muridae,Acomys,42.35,,2.5,,0.000488186,,
acomys_spinosissimus,Acomys spinosissimus,Rodentia,Muridae,Acomys,26.5,,2.71,,,,
acomys_subspinosus,Acomys subspinosus,Rodentia,Muridae,Acomys,21.92,,,,,,
acomys_wilsoni,Acomys wilsoni,Rodentia,Muridae,Acomys,18.5,,2.29,,,,
aconaemys_sagei,Aconaemys sagei,Rodentia,Octodontidae,Aconaemys,96.49,,,,,,
acrobates_pygmaeus,Acrobates pygmaeus,Diprotodontia,Acrobatidae,Acrobates,13.84,,2.8,97.5,0.005959065,2.0,86.4
