species_original_name,msw05_order,msw05_family,adultbodymass_g,gestationlen_d,littersize,homerange_km2,maxlongevity_m,populationdensity_n_km2,weaningage_d,trophiclevel,gr_midrangelat_dd,gr_midrangelong_dd,species_matched_name,open_tree_id,is_synonym
Camelus dromedarius,Artiodactyla,Camelidae,492714.47,386.51,0.98,196.32,480.0,0.98,389.38,1.0,,,Camelus dromedarius,510752,False
Canis adustus,Carnivora,Canidae,10392.49,65.0,4.5,1.01,137.0,0.74,52.89,2.0,-6.0,13.0,Canis adustus,621176,False
Canis aureus,Carnivora,Canidae,9658.7,61.24,3.74,2.95,192.0,0.22,61.3,2.0,21.14,45.74,Canis aureus,621168,False
Canis latrans,Carnivora,Canidae,11989.1,61.74,5.72,18.88,262.0,0.25,43.71,3.0,39.7,-117.6,Canis latrans,247331,False
Canis lupus,Carnivora,Canidae,31756.51,63.5,4.98,159.86,354.0,0.01,44.82,3.0,47.38,3.9,Canis lupus,247341,False
Bos frontalis,Artiodactyla,Bovidae,800143.05,273.75,1.22,,314.4,0.54,186.67,1.0,15.43,91.12,Bos frontalis,96935,False
Bos grunniens,Artiodactyla,Bovidae,500000.0,273.75,1.0,,267.0,,243.33,1.0,34.27,87.57,Bos grunniens,381164,False
Bos javanicus,Artiodactyla,Bovidae,635974.34,296.78,1.22,,318.96,0.75,287.74,1.0,8.15,106.64,Bos javanicus,907672,False
Callicebus cupreus,Primates,Pitheciidae,1117.02,129.25,1.01,,,4.89,201.85,,-6.58,-68.25,Plecturocebus cupreus,34118,True
Callicebus discolor,Primates,Pitheciidae,,,,,,,,,,,Callicebus discolor,3607578,False
Callicebus donacophilus,Primates,Pitheciidae,897.67,,1.02,,,,,,-15.87,-62.37,Plecturocebus donacophilus,282614,True
Callicebus dubius,Primates,Pitheciidae,992.4,,1.02,,,,,,,,Callicebus dubius,3607587,False
Callicebus hoffmannsi,Primates,Pitheciidae,1067.61,,1.02,,,,,,-3.97,-57.04,Plecturocebus hoffmannsi,442910,True
Callicebus lucifer,Primates,Pitheciidae,,,,,,,,,,,Cheracebus lucifer,3607586,True
Callicebus lugens,Primates,Pitheciidae,,,,,,,,,,,Cheracebus lugens,927108,True
Callicebus medemi,Primates,Pitheciidae,,,,,,,,,-0.35,-75.56,Cheracebus medemi,3607588,True
Callicebus melanochir,Primates,Pitheciidae,,,,,,,,,-15.5,-39.59,Callicebus melanochir,3607582,False
Callicebus modestus,Primates,Pitheciidae,992.4,,1.02,,,,,,-14.96,-66.66,Plecturocebus modestus,3607580,True
Caluromys derbianus,Didelphimorphia,Didelphidae,326.72,,3.14,,60.0,11.86,,2.0,8.9,-87.48,Caluromys derbianus,307517,False
Caluromys lanatus,Didelphimorphia,Didelphidae,350.33,,,,60.0,,,2.0,-9.51,-65.29,Caluromys lanatus,606431,False
Caluromys philander,Didelphimorphia,Didelphidae,246.47,23.99,4.18,0.009960363,76.0,62.32,119.65,2.0,-6.19,-56.61,Caluromys philander,589460,False
Caluromysiops irrupta,Didelphimorphia,Didelphidae,257.48,,2.0,,94.0,8.85,,2.0,-11.01,-67.73,Caluromysiops irrupta,608047,False
Calyptophractus retusus,Cingulata,Dasypodidae,129.99,,,,144.0,,,2.0,-21.3,-61.11,Calyptophractus retusus,390325,False
Camelus bactrianus,Artiodactyla,Camelidae,554515.91,397.99,1.39,,480.0,0.06,368.13,1.0,41.34,94.17,Camelus bactrianus,510768,False
Bos sauveli,Artiodactyla,Bovidae,791321.76,,,,,,,1.0,13.76,105.42,Bos sauveli,620923,False
Bos taurus,Artiodactyla,Bovidae,618642.42,280.48,,10.04,240.0,,,,13.46,108.04,Bos taurus,490099,False
Boselaphus tragocamelus,Artiodactyla,Bovidae,182253.04,248.49,1.39,,260.4,2.39,,1.0,22.35,78.0,Boselaphus tragocamelus,756060,False
Brachiones przewalskii,Rodentia,Muridae,,,,,,,,,39.16,90.0,Brachiones przewalskii,89265,False
Canis mesomelas,Carnivora,Canidae,8247.3,62.5,3.89,11.93,168.0,0.74,34.1,2.0,-9.18,31.56,Canis mesomelas,666235,False
Canis simensis,Carnivora,Canidae,14361.86,63.61,,4.2,,1.2,69.6,3.0,9.93,38.99,Canis simensis,752755,False
Cannomys badius,Rodentia,Spalacidae,472.07,41.49,2.0,,48.0,,50.1,,19.83,95.26,Cannomys badius,3610667,False
Cansumys canus,Rodentia,Cricetidae,,,,,,,,,33.34,108.94,Cansumys canus,3611180,False
Caperea marginata,Cetacea,Neobalaenidae,31999999.98,,0.98,,,,,,,,Caperea marginata,397243,False
Capra caucasica,Artiodactyla,Bovidae,58149.52,155.0,1.09,,264.0,,,,42.33,44.26,Capra caucasica,698611,False
Capra falconeri,Artiodactyla,Bovidae,54303.37,167.98,1.73,,168.0,,167.29,1.0,33.87,70.26,Capra falconeri,202967,False
Capra hircus,Artiodactyla,Bovidae,47386.47,156.0,1.45,98.3,249.6,7.58,158.04,1.0,,,Capra hircus,19017,False
Capra ibex,Artiodactyla,Bovidae,69546.83,167.5,1.11,,267.6,,111.75,1.0,45.83,10.13,Capra ibex,698617,False
Atelerix algirus,Erinaceomorpha,Erinaceidae,903.98,39.25,2.5,,84.0,,39.7,2.0,33.74,5.94,Atelerix algirus,805535,False
Atelerix frontalis,Erinaceomorpha,Erinaceidae,329.12,37.13,4.99,,,,34.8,2.0,-23.03,21.42,Atelerix frontalis,3614702,False
Atelerix sclateri,Erinaceomorpha,Erinaceidae,,,,,,,,,9.15,48.42,Atelerix sclateri,3614703,False
Ateles belzebuth,Primates,Atelidae,6692.42,138.2,1.02,2.28,336.0,13.49,,1.0,-0.44,-69.33,Ateles belzebuth,791705,False
Ateles chamek,Primates,Atelidae,7053.92,,,1.16,,3.39,,1.0,-7.01,-69.73,Ateles belzebuth chamek,814889,True
Ateles fusciceps,Primates,Atelidae,9067.94,224.7,1.01,,288.0,,482.7,1.0,6.44,-76.52,Ateles fusciceps,791687,False
Ateles geoffroyi,Primates,Atelidae,7582.4,226.37,1.01,0.73,327.6,19.06,816.35,1.0,12.38,-84.54,Ateles geoffroyi,791691,False
Ateles hybridus,Primates,Atelidae,,,,,,,,,8.8,-70.82,Ateles hybridus,645692,False
Ateles marginatus,Primates,Atelidae,6229.28,,,,,,,1.0,-4.69,-56.01,Ateles marginatus,3607557,False
Ateles paniscus,Primates,Atelidae,8697.25,228.18,1.0,1.36,453.6,8.0,805.41,2.0,2.06,-56.14,Ateles paniscus,217258,False
Callicebus moloch,Primates,Pitheciidae,958.13,164.0,1.01,0.02,303.6,18.43,58.85,2.0,-7.7,-53.24,Plecturocebus moloch,842880,True
