canonical_taxon_id,esm2_dim_1,esm2_dim_2,esm2_dim_3,esm2_dim_4,esm2_dim_5,esm2_dim_6,esm2_dim_7,esm2_dim_8,esm2_dim_9,esm2_dim_10,esm2_dim_11,esm2_dim_12,esm2_dim_13,esm2_dim_14,esm2_dim_15,esm2_dim_16,esm2_dim_17,esm2_dim_18,esm2_dim_19,esm2_dim_20,esm2_dim_21,esm2_dim_22,esm2_dim_23,esm2_dim_24,esm2_dim_25,esm2_dim_26,esm2_dim_27,esm2_dim_28,esm2_dim_29,esm2_dim_30,esm2_dim_31,esm2_dim_32,snp_dim_1,snp_dim_2,snp_dim_3,snp_dim_4,snp_dim_5,snp_dim_6,snp_dim_7,snp_dim_8,snp_dim_9,snp_dim_10,snp_dim_11,snp_dim_12,snp_dim_13,snp_dim_14,snp_dim_15,snp_dim_16,func_dim_1,func_dim_2,func_dim_3,func_dim_4,func_dim_5,func_dim_6,func_dim_7,func_dim_8,func_dim_9,func_dim_10,func_dim_11,func_dim_12,func_dim_13,func_dim_14,func_dim_15,func_dim_16
abditomys_latidens,1.0979904,0.8043349,-0.44127,0.56485754,-0.43693015,0.45823938,0.79202825,0.7750842,-0.34933203,-0.69762975,0.77079445,0.8235861,-0.4884801,0.12751518,1.3336363,-0.50576353,-0.14361317,-0.15667138,0.9054231,0.13388743,1.453913,-0.19962966,0.22144067,1.4661691,0.23228283,-0.8408212,0.04866789,0.03842257,0.29614434,-0.8575506,-0.85469365,1.6185089,1.5597631,0.20795931,-0.3826332,-0.57669556,-0.657311,-1.4425634,1.3720363,0.26919714,-1.6756774,-1.2182451,1.6041743,-0.016223285,-0.9204662,0.8694993,1.6101766,-0.2748651,0.1931988,-1.3555963,1.8147688,-0.70343953,1.2791833,0.19805476,-0.46185213,0.21799038,-0.7820937,-0.04062385,0.4216532,-0.23948096,0.35728726,0.040911674,0.055292044,0.63704216
abeomelomys_sevia,-0.674565,-0.013935462,-0.1221509,1.6628511,0.5043816,1.194853,-0.27175584,0.45605254,0.052128065,-0.9417643,-1.0446464,-0.6470881,0.7160753,0.5438808,0.041268222,0.2745578,-0.7283281,-1.5688629,-1.539645,1.7281964,0.1922507,0.73967975,1.391757,-0.03581933,0.6709014,0.7554323,-0.03592207,-0.30163082,0.88344204,0.49778768,1.2679387,-0.26969418,-1.0028883,-0.8468705,-2.380137,1.0546745,1.6201421,1.4333215,-1.2306058,-1.0150057,2.747766,0.22042127,2.188709,-1.1719334,-2.3197815,-0.8973031,0.40175337,-0.15721181,-0.6237085,1.2418848,0.92287886,-0.87255603,0.9566544,-0.16876142,0.08329002,-0.7602292,-1.6690583,-0.36936817,-0.29596072,-0.896266,-0.55814373,0.11435205,-0.26985672,-0.13587913
abrawayaomys_ruschii,-0.050153486,1.9591767,-0.71472114,0.16393109,-0.058940407,2.039144,0.28798082,0.1158504,0.58587444,-1.7782168,0.44844782,-1.6507616,0.96895254,0.50742036,-0.21033382,0.08594794,-0.60893047,1.2292508,-0.10608694,0.64875406,-1.6370156,0.38035315,-0.67019194,2.2214966,0.8404815,-0.9613693,-0.50381714,0.279627,-1.7712891,0.10313787,0.19250315,-0.3634625,0.75709313,-0.26431766,0.81854564,1.2790543,-0.4886391,-0.77035713,-0.7197993,3.0923338,0.8425247,-2.3619409,-0.1609029,-1.511101,-0.35149252,0.017165193,-0.9905541,0.08845554,0.07789315,-0.9572118,0.51836973,1.3363863,1.4431254,0.42224154,3.7939692,-0.4983945,0.5777608,-0.74266475,0.7683993,0.89481807,0.20489809,-0.9707739,0.5536736,-0.4871602
abrocoma_bennettii,1.7955954,3.0665042,0.060634997,-1.3935056,-0.18879943,0.45958465,-0.632224,-2.0014722,0.1040345,-0.76435775,1.6575776,-1.2099956,-0.8905132,0.8656305,1.0648813,1.4323112,-0.43416506,-1.6269085,-0.6981471,-0.5469888,0.009884856,1.004224,1.5181009,-1.9172319,-0.8804348,1.565192,-0.8972309,-0.3812194,-0.17305404,-0.70425,1.8155085,0.78928924,0.09367152,-0.02237165,-0.5391311,-0.643456,-0.69134533,-0.20719533,0.051933408,-0.13039905,-2.060438,1.1071492,0.101722635,1.3259389,-1.3449004,1.4189352,1.968736,-2.565249,0.09064345,-2.077644,0.72083324,-0.9144584,0.30236718,-0.5908219,-0.62950164,1.4462389,-2.1600494,-0.7143054,0.51188296,-1.4651951,-1.091649,0.76459926,-0.5257912,-1.0968599
abrocoma_boliviensis,-0.29664323,0.61564827,-0.48502654,1.5577828,0.7804568,0.41136783,-0.19138192,1.5817,-0.32502785,-2.3581705,0.28798932,0.14318275,1.4983816,0.39538506,-0.90412575,1.0305907,-0.43905044,1.2192184,-1.9696927,-1.2532248,-0.5726842,1.4569376,-2.0665014,0.061861794,0.0005585635,0.084336564,-0.7640182,-1.1302775,0.3447788,0.063303255,1.0365934,2.2729654,0.20912075,-1.6375723,-0.7526038,0.23019412,-1.9907217,-1.3176758,0.621653,-1.0815164,-0.1643819,0.8984548,-1.5584894,-1.8139222,-0.6911562,1.2589606,0.061074667,-1.3978211,-0.8790228,0.31294468,-0.71477586,-0.93941367,1.1376444,0.74203724,3.2698245,-1.2693908,0.7799433,-1.2579932,-0.2423004,-1.0487708,-0.4023851,0.5979733,-2.4688382,-0.9737325
abrocoma_cinerea,-0.44112992,0.27387917,0.6074413,-0.5612365,2.0192,1.6128409,0.57945365,1.79082,-0.4364147,1.4630688,2.212048,-0.36322203,1.0657597,-0.015864942,-0.6374083,-0.7796595,0.9033803,-0.87193966,-2.252081,-1.4542345,-1.8148758,0.8321967,0.46575963,0.6189432,-0.07196068,1.6860254,0.29355785,-0.4652968,-1.225233,1.107322,-0.04219502,0.30627823,-0.6649595,0.28450465,0.2436774,-2.0852456,2.7381861,0.31903002,1.2919683,0.7324373,-0.33199504,1.2016699,-2.915937,2.2148066,-1.1130333,-0.16783272,-0.084556945,-0.91452795,0.9354407,0.40815094,-0.024243753,1.464308,1.4128603,-0.41449514,0.3323476,-0.093803965,0.5265038,-1.3341938,-1.617647,-0.19638903,-0.7672309,-0.15208574,0.12023246,1.6727911
abrothrix_andinus,1.6051589,0.45046735,0.85380256,1.9525781,0.17741732,0.7363451,1.0965286,-0.78256017,0.016679015,-0.63529056,0.60361445,-1.4446217,0.26883036,-0.5907764,-0.06798284,0.93247926,1.4474951,-0.61024195,0.1052089,0.17206757,-0.5105903,-1.7414222,0.06012906,-1.2180257,0.94476897,-0.66412723,0.93386686,0.30589768,1.9238527,2.0123098,-0.80283976,0.8322774,0.5052074,-1.7235309,0.83304965,0.38106957,-1.4020591,-2.0203896,0.50551605,-0.39918652,-0.5613128,0.6626489,0.08602737,-2.0378435,1.1523639,2.216979,1.9717773,-2.8430226,-0.6765872,-0.8669931,-1.0549377,-0.42268482,1.8533337,-0.39260647,-0.57752234,0.9922609,0.3580103,0.23288515,-0.50779796,-0.032234196,-2.276474,-0.97836596,0.5699314,2.052672
abrothrix_illuteus,-1.6716981,-1.5159351,1.5235983,-1.778122,0.10436299,1.7452806,-0.29162586,0.2614617,0.37437087,1.1776093,-0.18760724,0.043143705,-0.10354504,-0.4154489,-1.2979599,0.5702498,-1.1071182,-1.246133,1.8460424,-1.8330173,-0.21137317,0.2458094,-2.6578987,0.007122759,-1.3996551,1.9583964,0.09300925,0.4840173,0.8804995,2.4959018,0.29941532,-0.7812541,-0.76006824,2.3720315,0.28824216,-0.66836303,-0.4474829,0.67850846,0.9358092,-0.610852,-0.28724673,-1.7906493,1.5208069,-0.43700603,-0.12043093,0.52673215,0.07373205,-0.03496766,0.7028538,-0.47162142,-0.95509464,1.9528838,1.1182027,1.4904734,-0.6117369,-0.63902444,1.0459871,1.1063051,1.6310681,-0.33653796,-0.56233406,-0.4790128,-0.034737825,-1.0010105
abrothrix_jelskii,0.11222825,0.5708306,0.21242802,0.1529057,1.2195128,-0.36648092,-0.89265275,-0.5829226,-1.2837983,0.55150753,2.4535701,-0.086732455,-1.7439786,-0.08231412,-0.4076009,0.1377072,0.39897132,1.246134,-0.18298095,0.7058969,0.23552506,-0.7990316,-0.15887016,-0.90631944,0.036929492,-0.27586088,0.8194321,0.62376684,0.04723504,-0.08601758,-0.5790596,-0.039763775,0.3876561,-1.8061548,-0.09213407,-1.0289543,-1.3278741,-0.88816696,-0.6479574,-1.4403665,1.0310374,2.5540476,1.3128211,-0.81951255,-0.0831284,-0.21271151,1.5704724,0.16004641,-0.73531896,-0.44717252,1.7657539,0.6667682,1.4955043,0.8368371,0.17195232,0.5520082,0.25879312,1.6086031,-1.1415311,-0.2490494,0.9472362,0.4816501,-1.9326292,-1.077732
abrothrix_lanosus,-0.2674971,1.8399104,0.92854226,1.2028173,-0.37104458,-0.8478846,-1.9400609,-1.0654502,2.0662334,-1.0566031,-1.8418359,1.2334764,1.4785068,-1.0988309,2.0758064,0.6182934,0.18903618,-0.26694587,-0.050012477,-0.65876985,1.1129017,-0.46173024,2.7742937,1.520641,1.602906,0.49483415,-1.597389,-1.5873067,0.027685892,-0.18066707,0.11010252,0.25172088,1.1292969,-2.510268,2.6338363,-0.778397,0.68867195,2.5521789,-0.35710022,-1.4306589,0.24790575,0.16516864,-0.68135107,-2.5233295,0.87689924,-0.49790648,-0.5194792,0.36122194,-1.5952241,1.0203109,-0.162548,-0.033431035,0.6348222,0.00058227364,-0.69020253,-0.39765835,-0.36883202,0.67595965,-0.43501493,0.46543273,-0.28772324,-0.16324317,-0.94206405,-1.4174335
